epoch,train_loss,val_loss
1,0.7583204870060278,0.6851707352261965
2,0.7191720634059333,0.7023083040503417
3,0.6802700376305969,0.6652266103394178
4,0.6555859707455778,0.6459043565250578
5,0.6401059132277198,0.6334009089437472
6,0.627921649979931,0.6223563259961654
7,0.6176261336506692,0.6073040698661285
8,0.6087004898955382,0.6023884857592939
9,0.6006911709073276,0.6009515296845209
10,0.5931339109404404,0.5899852871083889
11,0.586028946725084,0.5841084357832564
12,0.5787904138728784,0.5774237716279063
13,0.571800181384762,0.5682387647985601
14,0.5655991173097504,0.5640031962978597
15,0.5592893758045245,0.5567365880726146
16,0.5528923057179594,0.5520942774759668
17,0.5465449116260709,0.5441241681981249
18,0.5399439921194903,0.5381164283168559
19,0.5336578454582477,0.5282166065001974
20,0.527303484120594,0.5279565339996701
21,0.5196138611167286,0.516199199115338
22,0.5128329735968757,0.5088375600016847
23,0.5055362715229967,0.5002572943969649
24,0.4982376820539712,0.4949050559884026
25,0.49153024868903755,0.48722017642592086
26,0.48458678714707176,0.4782678987704167
27,0.47761391258035096,0.4717666022226113
28,0.4707622749611032,0.46558644272843186
29,0.46420702814032594,0.46079511301858084
30,0.4573675650895409,0.4503606878170351
31,0.4509557815068781,0.4445321578152326
32,0.44423920811501694,0.4384232668244109
33,0.437840964354159,0.4318935988711662
34,0.4312583437805012,0.4295625735302361
35,0.4250510601270864,0.4170097929685294
36,0.41903437432301405,0.4161925092846358
37,0.4132516180241057,0.410802366579471
38,0.40685957063932787,0.4054038437450824
39,0.40113996034528054,0.39820366915391414
40,0.39496164513759857,0.3944030566280391
41,0.38922114761090587,0.38559803305840007
42,0.383766721169836,0.3789175519732391
43,0.3778654740603697,0.37451170557210234
44,0.3720747951274266,0.3719404769592545
45,0.3660694565128359,0.3638704471847638
46,0.36008067292205254,0.3566307403197905
47,0.35423346780912046,0.35072090045935445
48,0.3477247697856805,0.3454653426092498
49,0.33955543079601336,0.33757512869478085
50,0.33113411114962826,0.3292133996681291
51,0.3223812657876076,0.31845337517407474
